drug_name,lot_no,units,quantity, price,received_date,expiry_date,note,,,,,,
D-5-S INJ. 500 ML,L0,ขวด,5,36.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
"D-5-S/2 INJ. 1,000 ML",L0,ขวด,5,41.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
D-5-S/2 INJ. 500 ML,L0,ขวด,4,36.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
DEXAMETHASONE INJ. 4 MG/ML,L0,Amp,20,7,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
DEXTROMETHOPHAN 15 MG TAB,L0,เม็ด,1990,0.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
DICLOFENAC 25 MG TAB,L0,เม็ด,0,0.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
DICLOFENAC INJ. 25 MG/ML,L0,Amp,0,3,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
DICLOXACILLIN 250 MG CAP,L0,แคปซูล,580,1.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
DICLOXACILLIN 62.5 MG/5 ML SYR,L0,ขวด,147,20,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
DIMENHYDRINATE 50 MG TAB,L0,เม็ด,1730,0.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
DIMENHYDRINATE 50 MG/ML INJ,L0,Amp,30,3,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
DIPHENHYDRAMINE CPD. 12.5+125 SYR.,L0,ขวด,0,10,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
"DIPHTHERIA, TETANUS, PERTUSSIS AND HEPATITIS B VACCINE ADSORBED (HDTPHB)",L0,Amp,0,52,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
DOMPERIDONE 10 MG TAB.,L0,เม็ด,930,0.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
DOMPERIDONE 5 MG/5 ML SUSP,L0,ขวด,0,7,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
DOXYCYCLINE 100 MG CAP.***,L0,แคปซูล,0,0.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
DTP VACCINE (DTP) 20 Lf/0.5 mL ,L0,Amp,0,14.25,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ERYTHROMYCIN ORAL 125 MG/5 ML SUSP,L0,ขวด,0,15,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ETHYL ALCOHOL 70% SOLN. (30 CC.),L0,ขวด,0,6,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ETHYL ALCOHOL 70% SOLN. (450 CC.) ,L0,ขวด,22,33.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ETHYL ALCOHOL 95%,L0,ขวด,0,43.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
Exluton Pill (ยาคุมสำหรับหญิงคลอด) 0.5,L0,แผง,0,30,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
F.B.C. TAB.***,L0,เม็ด,0,0.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
